stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03331830000001901,,0.015033300000141026,0.03331830000001901,0.5560464000000138,0.5560464000000138,0.5664043000001584,0.8694116000001486,1.2784449000000677,left,-10.0,1,1,0.7042023999999856,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
1,2,8.0,1.2986519999999473,,1.278760899999952,1.2986519999999473,1.7843755999999757,1.7843755999999757,1.801714899999979,2.084525400000075,2.271733499999982,right,8.0,1,1,0.48059710000006817,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
2,2,6.0,2.284333600000082,,2.2719191999999566,2.284333600000082,2.783626099999992,2.783626099999992,2.799462299999959,3.0845884000000297,3.1690066000001025,right,6.0,1,1,0.37745990000007623,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
3,2,4.0,3.183540700000094,,3.1691769999999906,3.183540700000094,3.683997800000043,3.683997800000043,3.683997800000043,3.9851860999999644,4.237362200000007,right,4.0,1,1,0.5476630000000569,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
4,1,2.0,4.251567100000102,,4.23758470000007,4.251567100000102,4.752385900000036,4.752385900000036,4.752385900000036,5.068155800000113,5.272302100000161,left,-2.0,0,0,0.5129689999998845,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
5,1,3.0,5.2842127000001256,,5.272503400000005,5.2842127000001256,5.784449900000027,5.784449900000027,5.784449900000027,6.08407810000017,6.153186900000037,left,-3.0,0,0,0.35265350000008766,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
6,1,4.0,6.170077100000071,,6.1533882000001086,6.170077100000071,6.667581000000155,6.667581000000155,6.683944099999962,6.969267200000104,7.219819099999995,right,4.0,1,1,0.5350086999999348,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
7,1,4.0,7.233969900000147,,7.220053600000028,7.233969900000147,7.7338240999999925,7.7338240999999925,7.7338240999999925,8.034718999999996,8.139380300000084,left,-4.0,1,1,0.40187779999996565,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
8,1,4.0,8.16591440000002,,8.139586700000109,8.16591440000002,8.651787400000103,8.651787400000103,8.667712800000118,8.950710800000024,9.022180000000162,left,-4.0,1,1,0.36419950000004064,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
9,1,3.0,9.03438129999995,,9.022385700000086,9.03438129999995,9.533933700000034,9.533933700000034,9.533933700000034,9.833896500000037,9.904093900000134,right,3.0,1,1,0.3664687000000413,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
10,1,3.0,9.91756620000001,,9.904285300000083,9.91756620000001,10.41744349999999,10.41744349999999,10.41744349999999,10.716937700000017,10.819820300000174,left,-3.0,1,1,0.39436559999990095,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
